zw,Please select your battalion,What is your time in service?,"Have you completed a mobilization or deployment? (SAD, Title 10, Title 32, etc.)",If you are deploying in the next twelve months do you have any questions or concerns regarding an upcoming deployment?,Have you used any form of educational assistance?,"If ""yes"" what educational benefits have you utilized and have you had any issues utilizing them?",Are you aware of the 211 resource?,Have you had any pay issues to include bonuses not being paid in a timely manner?,Do you feel like your leadership is competent and interested in your development as a soldier and civilian?,Would you be interested in extending or re-enlisting?,Would you be interested in re-enlisting or extending if you were at a different unit?,Would you be interested in re-enlisting or extending if you could acquire a new MOS?,Do you feel valued at your unit?,What made you join the Army National Guard?,What has changed over the course of your enlistment that may have negatively impacted your desire to stay in? ,"In as much detail as you would like, please explain why you are, or are not interested in extending or re-enlisting.",What changes would you make to improve the morale of soldiers within your company or battlion?,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Have you attended any military schools other than your initial entry training?,"If ""No"" please elaborate on what would make you feel like a more valued asset to the team."
2/1/2025 7:49:03,X3YF3 (1030th BN),Greater than 12 years,Yes,No,Yes,School,Yes,No,No,No,No,No,Yes,Family and school ,Na,I’ve already reenlisted ,I’m unsure ,,,,,,,Yes,
2/1/2025 7:49:28,X3YF3 (1030th BN),Less than 3 years,Yes,No,No,,No,No,No,No,No,No,No,It was fun. ,Less training and ore sitting around and doing nothing. ,Boring and waste of time when I can continue my career without a distraction ,Nothing ,,,,,,,No,Not being treated differently 
2/1/2025 7:49:51,X3YF3 (1030th BN),Greater than 6 years but less than 12,Yes,Yes,No,,No,Yes,Yes,Undecided,I am happy at my current unit,Yes,Yes,To become a better me and do more for my family and country ,Got hurt in Basic Training and now I feel constant pain. ,Na,Na,,,,,,,Yes,
2/1/2025 7:51:00,X3YF3 (1030th BN),Less than 3 years,No,,No,,No,Yes,Yes,No,No,No,Yes,to follow my grandfather’s footsteps but i have asthma which affects me leveling up,asthma ,health issues,more explanation ,,,,,,,No,
2/1/2025 7:51:30,X3YF3 (1030th BN),Greater than 6 years but less than 12,Yes,,Yes,State Tuition Assistance - website was difficult to utilize ,No,No,Yes,No,No,No,Yes,Joined for the experience ,Lifestyle changes ,"The lack of communication within every unit I've been in is aggravating. Also, being in the Guard is no longer compatible with my lifestyle ",Honestly can't think of any. Having available vehicles would be nice ,,,,,,,Yes,
2/1/2025 7:52:17,X3YF3 (1030th BN),Greater than 3 years but less than 6,No,Not deploying,No,None,No,Yes,Yes,Yes,Yes,Yes,Yes,Wanted to see how the army was,My job,None,More push ups,,,,,,,No,None
2/1/2025 7:52:24,X3YF3 (1030th BN),Greater than 6 years but less than 12,Yes,No,No,,No,No,No,No,No,No,No,Didn’t want college ,Unit command and leadership ,Military sucks ,Open martinsville unit ,,,,,,,Yes,
2/1/2025 7:52:53,X3YF3 (1030th BN),Greater than 3 years but less than 6,Yes,None,Yes,Total cyber solutions comptia certification,No,No,No,Undecided,Yes,Yes,Yes,To serve,Bad experiences bad leadership corruption,Already stated,Better leadership,,,,,,,Yes,
2/1/2025 7:53:12,X3YF3 (1030th BN),Greater than 6 years but less than 12,Yes,None,No,N/A,No,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Money,Hurry up and waiting ,N\A,Open back up Martinsville Armory.,,,,,,,No,N/A
2/1/2025 7:53:56,X3YF3 (1030th BN),Greater than 12 years,Yes,,No,,No,Yes,No,No,Yes,No,Yes,Boredum,Closing Martinsville Armory,Closing Martinsville Armory,Opening Martinsville,,,,,,,No,
2/1/2025 7:54:46,X3YF3 (1030th BN),Greater than 12 years,Yes,No,No,,No,No,Yes,No,No,No,Yes,School,Nothing ,I'm just ready for a new path,Cookouts and more fundays,,,,,,,Yes,
2/1/2025 8:00:28,X3YF3 (1030th BN),Less than 3 years,No,,No,,No,No,Yes,Undecided,Yes,Yes,Yes,School and to step out my comfort zone,Not learning my job at ait so then at unit I’m not lost,I like learning new things ,Nothing at all,,,,,,,No,
2/1/2025 8:01:16,X3YF3 (1030th BN),Greater than 12 years,Yes,Na,Yes,Gi ,No,No,No,Yes,Yes,I am happy in my current MOS,No,Finishing time in service ,Active to guard ,Finishing time for retirement ,Na,,,,,,,Yes,Na
2/1/2025 8:02:30,X3YF3 (1030th BN),Less than 3 years,No,No,No,,No,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,Free school ,Trying to maintain a balance ,I need the benefits,N/A,,,,,,,No,
2/1/2025 8:18:09,X3YF3 (1030th BN),Greater than 12 years,No,No,No,,No,Yes,Yes,Undecided,Yes,Yes,Yes,Idk man,Depression,Slow promotion ,Promote people that need to be promoted ,,,,,,,Yes,
2/1/2025 8:18:28,X3YF3 (1030th BN),Greater than 6 years but less than 12,Yes,,No,,No,Yes,No,No,No,No,No,Money,Leadership is ugly the care for the troops is not there,When it stoped being one weekend a month to much extra training ,Everyone held accountable the same,,,,,,,No,To much of the buddy buddy system 
2/1/2025 8:20:42,X3YF3 (1030th BN),Greater than 3 years but less than 6,No,,No,,No,Yes,Yes,No,No,No,Yes,Had to cause of contract ,DONT LIKE IT,DONT LIKE IT,I don’t know,,,,,,,No,
2/1/2025 8:21:08,X3YF3 (1030th BN),Greater than 3 years but less than 6,No,,No,,No,No,No,No,No,No,No,I have no clue tbh,Everything,Just not for me,Need a lot of work,,,,,,,No,
2/1/2025 8:21:44,X3YF3 (1030th BN),Greater than 3 years but less than 6,No,No,Yes,Montgomery Gill and state TA. Not using anymore ,No,Yes,Yes,No,I am happy at my current unit,I am happy in my current MOS,Yes,Benefits and careeer growth ,"Time, job change and relocation","Undecided, depends on bonus and student debt repayment ",Communication and clear expectations ,,,,,,,No,
2/1/2025 8:22:00,97TAA (124th Cyber),Greater than 12 years,Yes,Negative,Yes,GI Bill and no issues,No,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,School but decided to stay because I love the US constitution,Promotion issues,I was supposed to have been promoted last year but for some reason I was told because I was on profile I couldn’t be promoted but the regulation states that anyone on profile can be promoted up until March 2025. So that has really affected my mood and has let me down to the point where I have lost 1 year of time in grade and 1 year of pay. Just tired of having to fight for my promotion more than my unit chain of command. ,Listen to soldiers concerns and actually take action. It’s one thing to just listen but if no actions are taken what’s the point of a soldier voicing their concern?,,,,,,,Yes,
2/1/2025 8:22:44,X3YF3 (1030th BN),Less than 3 years,No,,Yes,"1606, FTA",No,Yes,No,No,Yes,Yes,No,In state tuition,Low-speed culture,I plan on commissioning active duty,"Higher standards, less monotonous drills",,,,,,,No,
2/1/2025 8:23:25,X3YF3 (1030th BN),Greater than 6 years but less than 12,Yes,No,No,,No,No,Yes,No,No,No,Yes,Young ,Issues with employment/family balancing ,Tired and broken ,Not sure,,,,,,,Yes,
2/1/2025 8:23:37,X3YF3 (1030th BN),Less than 3 years,No,N/A,Yes,TA assistants ,No,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,College,N/A,I plan on commissioning ,N/A,,,,,,,No,
2/1/2025 8:24:39,X3YF3 (1030th BN),Greater than 6 years but less than 12,Yes,,No,,No,Yes,No,Undecided,No,No,No,I just wanted to do it ,To much dumb things going on ,Not worth it ,Everything about the unit needs to change ,,,,,,,No,
2/1/2025 8:34:36,X3YF3 (1030th BN),Greater than 6 years but less than 12,Yes,,No,,No,Yes,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,I wanted to,Nothing ,Retirement ,Soldier care,,,,,,,Yes,
2/1/2025 8:36:32,97QAA (123rd Cyber),Greater than 3 years but less than 6,No,,No,,No,No,No,Yes,I am happy at my current unit,Yes,Yes,Career change and stability ,Being put in rear-det and not having a sense of direction for my career or goals within the unit  coming out of AIT.,I’m re-enlisting because I’m trying to make the most out of my experience that I feel I wasn’t able to achieve because of AIT (COVID) and my unit being mobilized and me being placed in rear-det right after AIT and having no plan for me within the unit.,Diversity ,,,,,,,No,
2/1/2025 8:44:30,X3YF3 (1030th BN),Greater than 6 years but less than 12,Yes,,No,,No,No,Yes,Yes,I am happy at my current unit,Yes,Yes,Better my life,Overlooked and not giving the chance,Bonus,Giving all soldiers the chance to do things,,,,,,,Yes,
2/1/2025 8:54:59,X3YF3 (1030th BN),Greater than 3 years but less than 6,No,,No,,No,Yes,Yes,No,No,No,Yes,Insurance,I don’t need insurance now,I don’t need insurance anymore,None,,,,,,,No,
2/1/2025 8:56:53,X3YF3 (1030th BN),Greater than 12 years,Yes,,No,,No,No,Yes,Yes,I am happy at my current unit,I am happy in my current MOS,Yes,Money,Changing of different leadership,Staying till 20 years,Morning PT,,,,,,,Yes,
2/1/2025 8:56:54,X3YF3 (1030th BN),Greater than 6 years but less than 12,Yes,No,Yes,TA assistance,No,Yes,No,Undecided,Yes,Yes,No,To help my community,"Haven’t worked to help my community. In the hurricane duty, we helped a college mostly with their soccer field.",N/a,N/a,,,,,,,No,N/a
2/1/2025 8:58:50,X6TAA (329th HHC),Greater than 12 years,Yes,No,Yes,Gi bill ,No,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,Career,Good ol’ boy politics within the organization ,N/A,"Better planning and communication within the upper echelon of leadership within the company. I feel that poor planning trickles down and soldiers don’t feel valued when 3 hours pass with little to do and then 2 hours of work gets tasked before they can be released . Planning happens at the earliest possible moment , not the day of .",,,,,,,Yes,
2/1/2025 8:59:28,X3YF3 (1030th BN),Less than 3 years,No,,Yes,State ta and GI bill. Couldn’t use the federal aid because the system took too long to process and it told me my class information was incorrect without having a “correct” option. ,No,No,Yes,No,No,No,No,Tuition assistance and mos related skills,Being forced to attend training events unrelated to my mos (ie cerfp) ,Interference with life and negative implications to my mental health ,Let them do the job they signed up to do and not extra things they didn’t ,,,,,,,No,If college came first and I didn’t have to miss weeks of class during final exams because I was volunteered for training events 
2/1/2025 9:00:07,X3YF3 (1030th BN),Greater than 6 years but less than 12,Yes,,Yes,1606. No,No,No,Yes,Undecided,I am happy at my current unit,Yes,Yes,Bonus,Drive to drill,Undecided,Better food,,,,,,,Yes,
2/1/2025 9:02:02,X3YF3 (1030th BN),Less than 3 years,No,What would I do about my college education?,Yes,ArmyIgnited and Federal Tuition Assistance ,No,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,Gain experience and maturity along with college benefits ,Nothing,I am undecided with how long I want to stay in,Nothing,,,,,,,No,
2/1/2025 9:04:51,X3YF3 (1030th BN),Greater than 6 years but less than 12,No,No,Yes,GI Bill,No,Yes,Yes,No,No,No,Yes,Benefits,"I knew I didn’t want to stay in any longer than my initial contract, but I also received my disability rating within 2 months of said contract.","I am currently receiving 100% Disability, so I am not getting paid for my drill time. There is no reason for me to continue serving if my time is not compensated. ","Be more communicative from the top down, and compensate soldiers for the extra time spent away from family, work, etc. when at schools that are mandatory besides drill.",,,,,,,Yes,
2/1/2025 9:05:41,X3YF3 (1030th BN),Less than 3 years,Yes,,No,,No,No,Yes,Undecided,I am happy at my current unit,I am happy in my current MOS,Yes,The experience ,My interests ,Not sure yet,N/A,,,,,,,Yes,
2/1/2025 9:08:40,X3YF3 (1030th BN),Greater than 3 years but less than 6,No,No,No,,No,Yes,Yes,No,No,No,Yes,Recruiter tricked me coming out of active ,Not for me ,Not for me ,Unsure,,,,,,,No,
2/1/2025 9:12:29,X3YF3 (1030th BN),Greater than 3 years but less than 6,No,,Yes,Gi bill tried to use state but since it was online and didn't have a physical location in VA I couldn't and no one really told me about federal ta until I was basically done school ,No,No,Yes,Undecided,Yes,Yes,Yes,Money,Idk,I might want to pursue a career in cyber / swe but it's either military or civilian side,More free food,,,,,,,No,
2/1/2025 9:14:40,X3YF3 (1030th BN),Greater than 12 years,Yes,No,Yes,GI bill,No,Yes,No,No,No,No,No,Nothing,Good ole boy system,Good ole boy system,Promotions should be made based on merit and not just how you look on a computer,,,,,,,Yes,
2/1/2025 9:19:49,X3YF3 (1030th BN),Greater than 12 years,Yes,,No,,No,Yes,Yes,Undecided,No,I am happy in my current MOS,Yes,Desire to serve.,Complacent attitudes.,"Reasons for not re-enlisting late pay, late bonuses, incorrect/lost records, chronic surveys.",Being paid on time is a big morale changer.,,,,,,,Yes,
2/1/2025 9:39:37,X3YF3 (1030th BN),Less than 3 years,No,No,No,,No,No,No,Undecided,Yes,Yes,Yes,Didn’t know what else to do,"Unmotivated unit, unclear communication",Reenlisting for money,"More communication, unit PT",,,,,,,Yes,
2/1/2025 9:43:31,X3YF3 (1030th BN),Less than 3 years,No,,Yes,,No,No,Yes,No,I am happy at my current unit,Yes,Yes,Service to my state ,Medical ,N/A,Morale is already high,,,,,,,No,
